NO,DPRTM_CHRG,CORP_NM,ADDRESS,TRGT_YEAR,DSGN_CLSF,DSGN_INDS,GHG_EMS,GHG_UNIT,GHG_EMS_BU,GHG_EMS_BU_UNIT,ENG_CNSM,ENG_UNIT,ENG_CNSM_BU,ENG_CNSM_BU_UNIT,VRFCT_AGNCY,TST
401,농림축산식품부,롯데푸드(주),서울특별시 영등포구 양평로19길 19 롯데푸드(주),2017,사업장,음식료품,"112,017",tCO₂eq,-,-,"2,215",TJ,-,-,(주)한국경영인증원,-
402,산업통상자원부,르노삼성자동차(주),부산광역시 강서구 르노삼성대로 61,2017,사업장,자동차,"111,119",tCO₂eq,-,-,"2,242",TJ,-,-,(재)한국품질재단,-
403,산업통상자원부,만호제강(주),"부산광역시 중구 중앙대로 116번길 14, 6~7층(중앙동 4가, 동호빌딩)",2017,사업장,철강,"32,053",tCO₂eq,-,-,651,TJ,-,-,한국표준협회,-
404,산업통상자원부,매그나칩반도체(유),충청북도 청주시 흥덕구 대신로 215,2017,업체,반도체,"604,879",tCO₂eq,78.77,tCO2eq/억원,"4,915",TJ,0.64,TJ/억원,(주)비에스아이그룹코리아,"767,950,000,000"
405,농림축산식품부,매일유업(주),서울특별시 종로구 종로1길 50 더케이트윈타워 A동,2017,사업장,음식료품,"109,723",tCO₂eq,-,-,"2,067",TJ,-,-,(주)한국경영인증원,-
406,국토교통부,명성운수(주),경기도 고양시 일산서구 대화로 97 (대화동),2017,사업장,교통(여객),"34,934",tCO₂eq,-,-,572,TJ,-,-,이큐에이㈜,-
407,산업통상자원부,무림에스피(주),대구광역시 북구 침산로 205(침산동),2017,사업장,제지,"51,517",tCO₂eq,-,-,"1,034",TJ,-,-,(재)한국화학융합시험연구원,-
408,산업통상자원부,무림파워텍 주식회사,경상남도 진주시 남강로1317번길 24,2017,업체,산업단지,"189,551",tCO₂eq,389.41,tCO2eq/억원,"2,776",TJ,5.7,TJ/억원,(재)한국화학융합시험연구원,"48,676,450,019"
409,산업통상자원부,무림페이퍼(주),경남 진주시 남강로 1003 ,2017,업체,제지,"218,366",tCO₂eq,48.29,tCO2eq/억원,"4,532",TJ,1,TJ/억원,(재)한국화학융합시험연구원,"452,156,896,000"
410,산업통상자원부,무림피앤피(주),울산광역시 울주군 온산읍 우봉길 3-36 ,2017,업체,제지,"254,878",tCO₂eq,42.08,tCO2eq/억원,"13,022",TJ,2.15,TJ/억원,(재)한국화학융합시험연구원,"605,728,871,000"
