NO,DPRTM_CHRG,CORP_NM,ADDRESS,TRGT_YEAR,DSGN_CLSF,DSGN_INDS,GHG_EMS,GHG_UNIT,GHG_EMS_BU,GHG_EMS_BU_UNIT,ENG_CNSM,ENG_UNIT,ENG_CNSM_BU,ENG_CNSM_BU_UNIT,VRFCT_AGNCY,TST
1,산업통상자원부,(유)에스케이씨에보닉페록사이드코리아,울산광역시 남구 상개로 99(상개동) ,2018,사업장,석유화학,"58,372",tCO₂eq,-,-,"1,191",TJ,-,-,(재)한국품질재단,-
2,국토교통부,(유)호남고속,전라북도 전주시 덕진구 신복천변로 28 (팔복동1가),2018,사업장,교통(여객),"25,429",tCO₂eq,-,-,393,TJ,-,-,(주)한국경영인증원,-
3,국토교통부,(주)HJ매그놀리아용평호텔앤리조트,강원도 평창군 대관령면 올림픽로 715 용평리조트,2018,사업장,건물,"32,776",tCO₂eq,-,-,649,TJ,-,-,(재)한국품질재단,-
4,산업통상자원부,(주)HM금속,경상남도 함안군 군북면 함안산단로 170,2018,사업장,철강,"34,262",tCO₂eq,-,-,600,TJ,-,-,한국표준협회,-
5,농림축산식품부,(주)MH에탄올,경상남도 창원시 마산회원구 내서읍 광려천남로 25,2018,사업장,음료제조업,"23,436",tCO₂eq,-,-,292,TJ,-,-,(재)한국화학융합시험연구원,-
6,농림축산식품부,(주)MSC,경상남도 양산시 소주회야로 45-73,2018,사업장,음식료품,"26,317",tCO₂eq,-,-,525,TJ,-,-,한국산업기술시험원,-
7,산업통상자원부,(주)SIMPAC,인천광역시 부평구 부평북로 141,2018,업체,산업,"458,521",tCO₂eq,170.54,tCO2eq/억원,"4,998",TJ,1.86,TJ/억원,한국표준협회,"268,863,854,000"
8,국토교통부,(주)강원랜드,강원도 정선군 사북읍 하이원길 265,2018,사업장,건물,"76,114",tCO₂eq,-,-,"1,534",TJ,-,-,한국표준협회,-
9,산업통상자원부,(주)건화,경상남도 거제시 연초면 연하해안로841-54,2018,사업장,조선,"22,213",tCO₂eq,-,-,410,TJ,-,-,한국표준협회,-
10,국토교통부,(주)경기고속,경기도 광주시  광주대로 171 ,2018,업체,교통(여객),"172,083",tCO₂eq,61.43,tCO2eq/억원,"2,644",TJ,0.94,TJ/억원,산림조합중앙회,"280,130,669,128"
