start,total
2016-06-18,12117.2
2016-06-24,10413.8
2017-06-24,639.1
2017-06-29,7063.4
2017-07-01,11329.3
2018-06-19,982.3
2018-06-26,18148.0
2019-06-26,20370.3
2020-06-10,2367.0
2020-06-24,43185.4
2021-07-03,14708.3
2022-06-21,830.3
2022-06-23,17616.2
