NO,DPRTM_CHRG,CORP_NM,ADDRESS,TRGT_YEAR,DSGN_CLSF,DSGN_INDS,GHG_EMS,GHG_UNIT,GHG_EMS_BU,GHG_EMS_BU_UNIT,ENG_CNSM,ENG_UNIT,ENG_CNSM_BU,ENG_CNSM_BU_UNIT,VRFCT_AGNCY,TST
1,환경부,(유)에스케이씨에보닉페록사이드코리아,울산광역시 남구 상개로 99(상개동) ,2019,사업장,석유화학,"53,909",tCO₂eq,-,-,"1,124",TJ,-,-,(재)한국품질재단,-
2,국토교통부,(유)호남고속,전라북도 전주시 덕진구 신복천변로 28 (팔복동1가),2019,사업장,교통(여객),"24,809",tCO₂eq,-,-,384,TJ,-,-,(주)한국경영인증원,-
3,환경부,(주)HJ매그놀리아용평호텔앤리조트,강원도 평창군 대관령면 올림픽로 715 용평리조트,2019,사업장,건물,"32,955",tCO₂eq,-,-,653,TJ,-,-,(재)한국품질재단,-
4,환경부,(주)HM금속,경상남도 함안군 군북면 함안산단로 170,2019,사업장,산업,"37,628",tCO₂eq,-,-,654,TJ,-,-,한국표준협회,-
5,농림축산식품부,(주)MH에탄올,경상남도 창원시 마산회원구 내서읍 광려천남로 25,2019,사업장,음료제조업,"10,062",tCO₂eq,-,-,293,TJ,-,-,(재)한국화학융합시험연구원,-
6,환경부,(주)MSC,경상남도 양산시 소주회야로 45-73,2019,사업장,음식료품,"27,775",tCO₂eq,-,-,555,TJ,-,-,한국가스안전공사,-
7,환경부,(주)SIMPAC,인천광역시 부평구 부평북로 141,2019,업체,산업,"463,352",tCO₂eq,118.21,tCO2eq/억원,"5,067",TJ,1.29,TJ/억원,한국표준협회,"391,970,769,000"
8,환경부,(주)강원랜드,강원도 정선군 사북읍 하이원길 265,2019,사업장,건물,"83,321",tCO₂eq,-,-,"1,686",TJ,-,-,한국표준협회,-
9,환경부,(주)건화,경상남도 거제시 연초면 연하해안로841-54,2019,사업장,조선,"30,632",tCO₂eq,-,-,534,TJ,-,-,한국표준협회,-
10,국토교통부,(주)경기고속,경기도 광주시 광주대로 171 (송정동),2019,업체,교통(여객),"166,441",tCO₂eq,55.04,tCO2eq/억원,"2,550",TJ,0.84,TJ/억원,산림조합중앙회,"302,392,320,220"
11,국토교통부,(주)경남고속,부산광역시 금정구 중앙대로 2008 6층 (남산동),2019,사업장,교통(여객),"26,528",tCO₂eq,-,-,375,TJ,-,-,(주)한국경영인증원,-
12,환경부,(주)경동,강원도 삼척시 도계읍 도상로 512,2019,업체,광업,"224,595",tCO₂eq,190.31,tCO2eq/억원,396,TJ,0.34,TJ/억원,(재)한국품질재단,"118,015,120,445"
13,산업통상자원부,(주)경동원,충청남도 아산시 영인면 아산호로 331 ,2019,사업장,기계,"16,145",tCO₂eq,-,-,322,TJ,-,-,한국표준협회,-
